date,account_value,window_id,compounded_account_value
2022-05-10,937244.5184991608,175,2025768.7845267267
2022-05-11,927160.285448822,175,2003972.6319474813
2022-05-12,926016.335526802,175,2001500.0882330614
2022-05-13,1000000.0,176,2001500.0882330614
2022-05-16,999576.0107906344,176,2000651.4737931062
2022-05-17,1009483.9588409424,176,2020482.2326900063
2022-05-18,974502.2358716584,176,1950466.31108044
2022-05-19,968159.2836469267,176,1937770.8916429812
2022-05-20,967977.0391872711,176,1937406.1293409008
2022-05-23,987877.810508503,176,1977237.5248962522
2022-05-24,991494.7074773444,176,1984476.7444985183
2022-05-25,997894.0761106148,176,1997285.0813826446
2022-05-26,1015086.3640782968,176,2031695.4472668883
2022-05-27,1032918.63318993,176,2067386.735467218
2022-05-31,1027650.8635137216,176,2056843.2939954954
2022-06-01,1018871.4886891976,176,2039271.3745095797
2022-06-02,1030940.1293256416,176,2063426.7598082752
2022-06-03,1019990.5888364448,176,2041511.2535530361
2022-06-06,1020149.2829435006,176,2041828.8798223108
2022-06-07,1027828.3931043282,176,2057198.6194867585
2022-06-08,1018437.4685971872,176,2038402.6832571256
2022-06-09,1000162.9352986946,176,2001826.203247775
2022-06-10,970221.8305242195,176,1941899.0793998677
2022-06-13,1000000.0,177,1941899.0793998677
2022-06-14,997365.5722534178,177,1936783.2865840343
2022-06-15,1001676.2853206636,177,1945154.2563208758
2022-06-16,979100.7821826936,177,1901314.907560263
2022-06-17,977857.8951609116,177,1898901.3463968665
2022-06-21,997589.7369628372,177,1937218.5918268897
2022-06-22,996086.377717537,177,1934299.2198924338
2022-06-23,999620.8325362626,177,1941162.7744510975
2022-06-24,1024674.1715636674,177,1989813.8304443078
2022-06-27,1023484.0130858842,177,1987502.6627919606
2022-06-28,1008545.8949752274,177,1958494.34498491
2022-06-29,1012388.54300074,177,1965956.3796481104
2022-06-30,1005971.8960433428,177,1953495.8988287067
2022-07-01,1015526.4957900468,177,1972049.9672808654
2022-07-05,1009905.5499282303,177,1961134.6576864475
2022-07-06,1012846.9324202958,177,1966846.5256399524
2022-07-07,1024082.8452086868,177,1988665.534339946
2022-07-08,1023525.3899245682,177,1987583.0124369096
2022-07-11,1017306.7384810868,177,1975507.0189237043
2022-07-12,1009693.3785720292,177,1960722.6423251657
2022-07-13,1000000.0,178,1960722.6423251657
2022-07-14,997411.3396488188,178,1955646.9973613152
2022-07-15,1010658.3550456996,178,1981620.7203932095
2022-07-18,1004559.640344238,178,1969662.8323889726
2022-07-19,1032210.0833840024,178,2023877.682127361
2022-07-20,1031192.9331795346,178,2021883.3326908152
2022-07-21,1036619.7449661862,178,2032523.8054365402
2022-07-22,1035533.6399475704,178,2030394.2547345967
2022-07-25,1039592.3084007872,178,2038352.1778685101
2022-07-26,1034694.3504654538,178,2028748.6408435456
2022-07-27,1047872.0904251706,178,2054586.5339572355
2022-07-28,1061373.1754662166,178,2081058.417093172
2022-07-29,1069839.333852447,178,2097658.205534565
2022-08-01,1066809.4085861812,178,2091717.3624604444
2022-08-02,1052868.9169022213,178,2064383.9247705585
2022-08-03,1066846.7958313597,178,2091790.6684786
2022-08-04,1066303.2708565365,178,2090724.966753795
2022-08-05,1068390.8498894344,178,2094818.1302312412
2022-08-08,1070038.8027626644,178,2098049.3087432683
2022-08-09,1070615.761476196,178,2099180.564756577
2022-08-10,1000000.0,179,2099180.564756577
2022-08-11,999521.9312294008,179,2098177.012084718
2022-08-12,1009057.549123764,179,2118193.9958415106
2022-08-15,1013697.9526114732,179,2127935.040655538
2022-08-16,1021132.2884040148,179,2143541.0538631156
2022-08-17,1016162.5945334702,179,2133108.7690772787
2022-08-18,1017323.6097617416,179,2135545.949679852
2022-08-19,1008614.9131446152,179,2117264.822996819
2022-08-22,988768.1331305772,179,2075602.8481183513
2022-08-23,982488.9689231188,179,2062421.7486511394
2022-08-24,983432.8700537948,179,2064403.1675597064
2022-08-25,992506.2172217636,179,2083449.7615919954
2022-08-26,960319.5661444932,179,2015884.169205988
2022-08-29,954305.121449974,179,2003258.76379545
2022-08-30,946909.0091834336,179,1987732.9886707708
2022-08-31,939131.9586768418,179,1971407.5553962032
2022-09-01,945526.17354348,179,1984830.1669711275
2022-09-02,935032.3549399644,179,1962801.7469085464
2022-09-06,929066.6646323472,179,1950278.6857594398
2022-09-07,943385.5572409898,179,1980336.6268323387
2022-09-08,1000000.0,180,1980336.6268323387
2022-09-09,1003889.8118202212,180,1988039.7636514083
2022-09-12,1007330.1263263704,180,1994852.744475758
2022-09-13,966669.5990399856,180,1914331.2130242146
2022-09-14,965106.58124926,180,1911235.91164485
2022-09-15,962230.1305185624,180,1905539.570907571
2022-09-16,958425.5876909636,180,1898005.2953977247
2022-09-19,965306.6517977448,180,1911632.118679965
2022-09-20,953300.4807575071,180,1887855.8584209685
2022-09-21,937842.953581604,180,1857244.7511942713
2022-09-22,931333.57069281,180,1844353.981841517
2022-09-23,917621.306555542,180,1817199.0829336857
2022-09-26,906903.6976154174,180,1795974.6093974912
2022-09-27,901220.8841846312,180,1784720.7258170503
2022-09-28,920284.5462787476,180,1822473.1941035844
2022-09-29,908728.5308063354,180,1799588.3934033252
2022-09-30,893691.0306079711,180,1769809.080984506
2022-10-03,916318.5926730956,180,1814619.270917994
2022-10-04,942018.3783099976,180,1865513.4977164906
2022-10-05,939664.998816284,180,1860853.0141082534
2022-10-06,1000000.0,181,1860853.0141082534
2022-10-07,993403.8881320956,181,1848578.6194574682
2022-10-10,990656.5165573125,181,1843466.1647816577
2022-10-11,992789.5311386111,181,1847435.3913944042
2022-10-12,992702.7721943668,181,1847273.9457515061
2022-10-13,1021729.2991604618,181,1901288.0459454588
2022-10-14,1008440.5857090764,181,1876559.7034658273
2022-10-17,1026162.7487873844,181,1909538.0440466146
2022-10-18,1036881.3950848392,181,1929483.8693163937
2022-10-19,1033134.958672028,181,1922512.301825449
2022-10-20,1026298.8364147953,181,1909791.2831182652
2022-10-21,1055525.4657978823,181,1964177.7444980075
2022-10-24,1070525.6402935795,181,1992090.8644204752
2022-10-25,1079232.1390347297,181,2008292.3788452744
2022-10-26,1084547.662956696,181,2018183.7875570296
2022-10-27,1093223.1531338503,181,2034327.599602054
2022-10-28,1120448.0854153447,181,2084989.1968969658
2022-10-31,1117404.5732617192,181,2079325.668132417
2022-11-01,1117073.3093457036,181,2078709.2346758337
2022-11-02,1101504.93249939,181,2049738.7736965984
2022-11-03,1000000.0,182,2049738.7736965984
2022-11-04,1003935.5576488494,182,2057805.638805563
2022-11-07,1012958.03453331,182,2076299.3595104234
2022-11-08,1024413.6189336396,182,2099780.315031133
2022-11-09,1007261.8191872252,182,2064623.6060522276
2022-11-10,1045402.0874672546,182,2142801.192784995
2022-11-11,1043073.5753772508,182,2138028.3512690924
2022-11-14,1034612.6571397248,182,2120685.6790965586
2022-11-15,1033770.7978751909,182,2118960.087520048
2022-11-16,1035772.1482213822,182,2123062.3329243874
2022-11-17,1035098.812474617,182,2121682.1705365265
2022-11-18,1041896.8470281448,182,2135616.3655458214
2022-11-21,1039340.100152382,182,2130375.7023400436
2022-11-22,1051573.975152382,182,2155451.9502801
2022-11-23,1053930.0219053116,182,2160281.2306622225
2022-11-25,1060062.7605146256,182,2172851.7427786794
2022-11-28,1046482.3411992874,182,2145015.4307449725
2022-11-29,1044874.0222181168,182,2141718.796968795
2022-11-30,1070304.6342939225,182,2193844.9085794105
2022-12-01,1064595.8518995133,182,2182143.395954994
2022-12-02,1000000.0,183,2182143.395954994
2022-12-05,995469.1689243318,183,2172256.472845037
2022-12-06,990364.5188201908,183,2161117.3943316247
2022-12-07,991472.9266391756,183,2163536.0991338473
2022-12-08,998187.2786174852,183,2178187.777961433
2022-12-09,987748.7435920566,183,2155409.397692249
2022-12-12,1003493.602981934,183,2189766.9386301097
2022-12-13,1006254.55834388,183,2195791.739139707
2022-12-14,1002666.3022518083,183,2187961.6498053973
2022-12-15,981754.8583850788,183,2142329.8806717303
